hours_sleep,productivity
9.1759,93.5306
9.4050,89.9195
5.6800,61.6394
9.7151,95.6836
5.7331,70.6769
7.2063,76.9369
4.7960,59.1316
8.5555,88.2499
9.5854,101.4062
3.9323,43.5464
9.5422,101.2731
7.1551,82.9688
9.0858,91.9776
6.9740,74.4103
8.1877,84.5352
6.0058,71.9306
9.1981,97.0042
7.0173,69.5157
4.8661,56.3481
7.3921,82.1381
4.8874,56.7483
6.0895,65.6731
5.0784,60.3966
8.8218,82.3457
3.7372,47.4810
4.8865,55.3902
5.5117,65.6649
4.3955,55.8721
6.8303,79.8168
3.0431,41.2128
9.6609,94.7116
3.5269,51.6663
9.2021,91.1468
7.0825,82.3428
5.3635,60.5991
8.6628,96.4025
7.0455,80.6064
9.3279,94.3835
6.8826,78.4038
5.3962,68.3845
7.4404,82.9727
5.5509,57.8423
7.9730,83.9730
9.6249,91.1480
8.5232,87.6697
4.9699,65.7065
8.5204,91.9669
7.1262,73.2784
8.2774,79.3000
4.3667,57.3682
3.0353,39.2724
5.1477,61.3466
3.8154,48.3774
9.3719,90.0661
7.5081,76.8546
7.9497,87.7309
7.6069,88.8123
6.4391,70.9088
9.2391,91.4979
4.0132,52.6721
6.7204,74.1487
4.1111,48.2748
7.5792,74.3239
5.2947,67.7876
7.5725,86.0629
5.7708,62.7480
9.4029,95.5532
4.4255,55.4005
4.4126,56.1112
4.4125,61.2796
9.6480,90.6536
7.6664,74.3112
9.8679,93.6444
3.6115,50.4209
3.0284,46.3028
3.7617,46.5067
4.1456,67.3345
7.9176,93.1085
7.7533,92.2695
9.4082,89.8257
4.6925,65.6486
4.1140,57.1684
8.3570,84.8538
5.0853,57.6381
8.6242,86.4534
5.6694,62.2631
8.5022,79.7821
3.7806,45.0638
4.7337,55.6183
7.5671,80.1717
7.2399,75.1796
5.6076,59.1484
8.5862,86.4462
8.8793,90.8824
3.9619,53.6103
4.6315,56.8278
9.7048,103.5382
5.3190,60.8948
5.2592,65.3211
3.1134,45.3821
4.4957,52.2023
7.3743,75.7584
6.0380,61.8929
3.9594,61.5017
6.5821,67.8375
4.1092,40.0397
3.5306,51.7930
4.5727,60.6807
3.4368,50.6013
4.2714,56.2873
9.9986,98.2946
7.1611,79.8784
7.5786,73.8096
3.2356,46.8496
4.2013,50.5587
5.3350,63.4962
7.0473,83.9292
3.4203,48.4237
4.9919,56.3095
4.4047,50.4734
6.5097,74.6861
5.1976,59.2618
6.2575,70.9716
4.1283,51.0931
4.0976,43.8276
4.4581,56.1312
5.3020,52.8394
3.7375,46.6893
9.4346,102.1964
5.8054,59.9819
9.5114,99.9223
7.5905,83.9513
3.5362,50.0563
8.9221,78.1395
5.5370,57.0083
5.1584,56.4107
3.5948,50.0282
3.0204,43.2682
7.5014,86.0075
5.7354,63.7375
7.8626,87.9525
3.6277,52.0766
9.0985,98.8922
3.9308,48.4083
5.8956,58.4771
7.2310,77.2216
8.3069,79.6260
9.3256,100.1634
9.6884,94.3929
3.7248,45.8523
7.3808,78.2076
4.9946,68.1730
6.1165,78.9671
3.8803,44.7768
9.6880,103.0984
3.9312,60.3158
8.3706,76.6063
7.7300,79.7777
7.6373,76.2140
4.6077,56.6937
9.6813,106.7481
7.2691,91.2637
6.9502,77.4472
3.4156,49.2264
7.9693,84.7490
5.9749,66.6190
4.8966,60.6896
9.5063,93.8001
7.2803,80.6121
4.5635,59.7599
4.7285,63.6593
6.3329,70.7475
8.4543,90.2971
5.6056,61.8274
4.5030,55.1526
5.3014,65.4576
3.8852,47.0658
7.7482,76.3812
9.2091,94.6513
3.2050,41.7321
7.3129,69.5536
8.3081,85.1567
7.1347,74.8760
5.2536,72.9527
8.3268,84.2139
8.3393,80.2785
7.8087,86.1644
5.8850,67.2493
5.5732,63.0241
6.8744,73.7246
5.8817,61.0260
5.4570,58.8849
8.7372,90.2042
9.5079,96.4895
6.1535,72.9687
5.7164,64.9131
6.5511,67.8658
6.2910,71.8932
7.3414,82.7568
7.4808,74.2797
3.3211,49.0596
5.2084,55.6672
9.4475,96.2152
7.8634,85.1094
6.3259,73.7962
4.3898,55.9176
4.3587,63.7184
3.3648,50.0526
5.3591,53.5048
7.6820,93.0853
8.7317,85.2515
8.1159,88.2581
3.4062,45.0482
4.3952,43.5721
5.9476,74.0540
9.8857,100.1992
7.0063,71.8087
5.5936,72.9935
7.9480,91.5869
5.1669,60.9424
4.2346,56.0321
9.0546,94.2786
4.9085,63.0873
5.7984,72.2830
3.0182,42.0765
8.8424,93.3316
9.1517,89.7061
7.7756,80.0428
4.0595,53.1837
3.0457,44.7212
3.6574,52.0758
9.1100,89.9864
8.1804,80.0239
9.4453,93.6175
8.3335,90.7314
7.3858,86.5772
6.4657,71.9453
3.8382,57.9275
3.5013,49.1705
3.2263,48.3427
7.9328,77.0686
4.7816,58.0608
5.7956,75.9339
4.4857,57.5751
5.8622,67.5230
4.0366,48.4819
4.2130,47.7516
7.6610,85.1659
5.4598,65.9571
8.6607,90.5373
5.3772,56.2119
3.9325,60.4693
5.8825,66.6880
4.8034,57.6439
5.4292,59.0794
3.1680,42.1386
8.4582,85.5929
4.0633,49.0551
8.2592,84.9235
8.0882,73.8445
9.0005,92.4425
3.8153,55.9915
9.0172,91.5489
4.8454,57.2697
7.7987,77.6218
9.7869,97.8328
6.0064,62.9678
6.4729,71.7451
5.6942,62.9624
3.5776,52.8181
8.1797,85.7299
3.0255,35.8627
8.6728,100.0305
9.1188,85.3596
9.8100,99.1734
5.6744,59.4966
3.6243,46.3453
7.2869,83.1078
8.4335,88.8652
3.0164,41.2723
5.7056,51.6763
4.4019,51.6595
6.1939,72.1686
4.7773,49.6653
5.0693,64.7469
5.3889,61.7619
3.1739,46.0068
9.3718,99.3530
9.4342,96.2299
5.9510,71.3046
6.1014,70.1768
5.0716,74.2288
3.3393,48.8743
3.0940,43.2060
7.8008,81.9235
4.5783,64.3363
4.2499,53.4557
6.2269,67.7208
5.3345,69.8679
5.3677,59.4072
6.6125,66.6399
5.7576,81.1861
5.2949,69.0905
4.8242,62.8715
3.6516,50.8230
9.4348,97.7085
5.0993,68.4096
7.4274,85.8219
5.2856,61.7042
6.7844,81.1280
9.7631,95.6997
8.1125,79.9484
3.4669,40.9143
7.8892,83.1543
9.8223,96.5495
7.4208,75.8109
8.8465,89.0240
9.9506,101.5036
5.9637,72.7061
7.2264,84.1875
4.0674,57.3365
5.7787,66.7474
9.0920,96.8815
8.2943,96.8147
4.2852,58.2585
3.6934,50.9436
4.1082,53.7981
3.0459,46.1410
3.7993,50.8473
5.6345,73.7869
8.8621,84.5666
7.0858,78.6325
3.8379,52.4174
3.6922,42.2424
8.2412,78.4610
3.8966,50.0655
6.0691,69.6786
8.1790,85.0455
4.8802,63.9697
6.1184,75.3386
6.1953,71.0035
5.6720,69.7209
4.7254,53.7546
3.3800,39.8904
3.6708,51.6611
4.6259,59.6617
9.8804,92.2361
4.8094,68.2568
4.1497,62.0397
7.3484,73.8580
7.4646,73.5317
8.4177,75.8321
9.1604,93.2783
8.4491,83.3453
3.0297,35.9410
6.8104,76.0147
8.6201,94.8713
6.1765,71.0422
4.4375,53.5529
9.8367,112.9654
5.1909,65.6490
4.5073,60.0501
3.3446,56.2016
6.6563,76.2180
8.0510,84.7560
7.2748,70.1810
7.1921,75.3879
3.8456,53.6459
3.2314,47.5730
6.5616,56.9850
9.6914,90.2377
8.5192,80.9947
4.4622,52.6618
6.0457,67.0667
3.9199,47.7638
4.8115,56.5630
7.1338,79.6875
8.4059,83.1412
9.3993,92.8400
3.2866,49.3012
8.8402,89.3087
4.0315,56.0982
7.8106,78.6506
9.4619,90.9474
6.5491,72.4778
9.6843,97.8760
3.5178,51.8668
5.1631,68.0326
8.5414,88.9652
5.7375,53.6393
5.7835,68.3483
5.0412,69.8425
8.9126,87.6272
8.2168,85.9574
7.6216,73.3670
4.5331,58.0042
3.6589,52.9719
6.8786,82.1095
7.5370,83.7128
4.8840,58.3808
